FID,X,Y,Ano
552,-74.08744673,4.75697723,2010
553,-74.1954771,4.64046034,2010
554,-74.11886193,4.702401463,2010
555,-74.1432764,4.676277246,2010
556,-74.10059787,4.727157931,2010
557,-74.09950311,4.730200296,2010
558,-74.11732327,4.708075814,2010
559,-74.09465687,4.743496751,2010
560,-74.10048363,4.733512291,2010
561,-74.0910562,4.756970598,2010
562,-74.15107005,4.671954631,2010
563,-74.11550683,4.712853916,2010
564,-74.12364638,4.698186827,2010
565,-74.12806138,4.699583296,2010
566,-74.12742579,4.70033826,2010
567,-74.12826052,4.699773451,2010
568,-74.12282928,4.707727224,2010
569,-74.10165238,4.737726292,2010
570,-74.10051279,4.740922729,2010
571,-74.12513767,4.708509265,2010
572,-74.12126543,4.713353907,2010
573,-74.08228357,4.594937245,2010
574,-74.12435738,4.559583139,2010
575,-74.08192888,4.595494304,2010
576,-74.08300553,4.593785878,2010
577,-74.08242024,4.594706966,2010
578,-74.12947797,4.702529168,2010
579,-74.12231092,4.713417593,2010
580,-74.12872774,4.704942486,2010
581,-74.10044127,4.746143644,2010
582,-74.15188662,4.677965542,2010
583,-74.15349629,4.678205809,2010
584,-74.10298331,4.743292681,2010
585,-74.14772984,4.686786477,2010
586,-74.10256659,4.726973905,2010
587,-74.07433002,4.607647591,2010
588,-74.10292509,4.571446913,2010
589,-74.14530774,4.71057511,2010
590,-74.13950151,4.716263632,2010
591,-74.10975256,4.734552935,2010
592,-74.06530508,4.638176955,2010
593,-74.07571993,4.60728476,2010
594,-74.0725673,4.611256274,2010
595,-74.06400518,4.645969093,2010
596,-74.08142868,4.600993293,2010
597,-74.03466155,4.743232822,2010
598,-74.07440377,4.612703029,2010
599,-74.05439581,4.669861788,2010
600,-74.09495192,4.586734115,2010
601,-74.10145935,4.579808229,2010
602,-74.13044097,4.559594998,2010
603,-74.12016474,4.745871656,2010
604,-74.11902009,4.743804208,2010
605,-74.12536382,4.563971622,2010
606,-74.07588134,4.611249634,2010
607,-74.06821796,4.634569988,2010
608,-74.06764887,4.637949796,2010
609,-74.12278622,4.750686817,2010
610,-74.12387166,4.745969937,2010
611,-74.12416984,4.741702785,2010
612,-74.12419126,4.741400054,2010
613,-74.12416984,4.741702785,2010
614,-74.12626103,4.742974473,2010
615,-74.08027463,4.605778091,2010
616,-74.07595315,4.61189606,2010
617,-74.10021613,4.58346651,2010
618,-74.07817516,4.608962191,2010
619,-74.03737394,4.761188785,2010
620,-74.07757952,4.609758042,2010
621,-74.07735623,4.609871037,2010
622,-74.08795842,4.595292223,2010
623,-74.07663369,4.61093147,2010
624,-74.07511699,4.613085732,2010
625,-74.07444593,4.613804821,2010
626,-74.071623,4.621539134,2010
627,-74.07068304,4.626730689,2010
628,-74.13092085,4.56040491,2010
629,-74.09501474,4.589677428,2010
630,-74.07750189,4.609645692,2010
631,-74.13003788,4.740740331,2010
632,-74.13145996,4.740110958,2010
633,-74.07606582,4.612756508,2010
634,-74.04318376,4.732871009,2010
635,-74.13679261,4.553302589,2010
636,-74.13671565,4.550402859,2010
637,-74.03837591,4.756186773,2010
638,-74.08792154,4.597224387,2010
