NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
COL GENERAL GUSTAVO ROJAS PINILLA	OFICIAL	199	2743819	TRADICIONAL	KR 84 B 16 65	4.652611111	-74.133925	KENNEDY	C125
COL DIST U.B. CIUDAD DE BOGOTA	OFICIAL	213	2683897	TRADICIONAL	KR 25 53 B 32 SUR	4.577647222	-74.13825278	TUNJUELITO	C126
INEM FRANCISCO DE PAULA SANTANDER	OFICIAL	635	2699811	TRADICIONAL	CL 38 C SUR 82 A 08	4.625213889	-74.155925	KENNEDY	C127
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO	OFICIAL	462	2828268	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	AV CARACAS 23 24 SUR	4.579927778	-74.10289722	RAFAEL URIBE	C128
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL	OFICIAL	197	2980203	TRADICIONAL	DG 86 A 103 C 80	4.720111111	-74.10808333	ENGATIVA	C129
CENT EDUC DIST BAS Y MEDIA O.E.A	OFICIAL	175	2834514	TRADICIONAL	KR 72 L 34 19 SUR	4.618216667	-74.13586667	KENNEDY	C130
CEDID ALFONSO LOPEZ PUMAREJO	OFICIAL	168	2794226	TRADICIONAL	IND TR. 62B NO.39-57 SUR	4.607758333	-74.14375556	KENNEDY	C131
COL DIST EDUC BAS Y MEDIA ATANASIO GIRARDOT	OFICIAL	168	2807262	TRADICIONAL	CL 14 SUR 28 16	4.59445	-74.10444722	ANTONIO NARIÑO	C132
COL DIST CARLOS ARANGO VELEZ	OFICIAL	117	2781111	TRADICIONAL	KR 70 B 24 B 35 SUR	4.616097222	-74.13619167	KENNEDY	C133
CENT EDUC DIST MANUELA AYALA DE GAITAN	OFICIAL	155	2814968	TRADICIONAL	CL 71 75 11	4.688266667	-74.10021389	ENGATIVA	C134
COL DIST HELADIA MEJIA HIJOS DE EDUCADORES	OFICIAL	116	2797069	TRADICIONAL	CL 65 15 A 04	4.654519444	-74.06945	BARRIOS UNIDOS	C135
COL DIST LUIS CARLOS GALAN SARMIENTO	OFICIAL	118	2967119	TRADICIONAL	CL 1 B 52 A 02	4.611611111	-74.11894444	PUENTE ARANDA	C136
COL DIST RAFAEL BERNAL JIMENEZ	OFICIAL	81	2789506	TRADICIONAL	KR 53 75 17	4.672019444	-74.073675	BARRIOS UNIDOS	C137
INST EDUC DIST JUAN LUIS  LONDOÑO	OFICIAL	85	2775294	TRADICIONAL	KR 1 C ESTE 66 A 20 SUR	4.531022222	-74.11426944	USME	C138
CENT EDUC DIST REP FEDERAL DE ALEMANIA	OFICIAL	28	2815357	TRADICIONAL	KR 24 44 05 SUR	4.578683333	-74.12536111	RAFAEL URIBE	C139
CENT EDUC DIST ALQUERIA LA FRAGUA	OFICIAL	26	2813846	TRADICIONAL	CL 37 B SUR 68 D 93	4.605075	-74.13621111	KENNEDY	C140
CENT EDUC DIST NUEVA ESPERANZA	OFICIAL	58	2381379	TRADICIONAL	KR 15 ESTE 76 72 SUR	4.513319444	-74.09131111	USME	C141
