OBJECTID,X,Y,Anio
13043,-74.14460192,4.673939172,2010
13045,-74.08932452,4.736422256,2010
13046,-74.11021165,4.652791565,2010
13047,-74.06468813,4.629445958,2010
13048,-74.06003397,4.651200675,2010
13050,-74.0801722,4.667963629,2010
13051,-74.10958427,4.600897777,2010
13052,-74.06451172,4.728390729,2010
13053,-74.13203262,4.677351656,2010
13054,-74.04467646,4.748816924,2010
13055,-74.06809438,4.621957752,2010
13056,-74.05467525,4.670978826,2010
13057,-74.11457386,4.510282505,2010
13058,-74.08903769,4.642180902,2010
13060,-74.13929116,4.538650171,2010
13062,-74.05920529,4.672178102,2010
13063,-74.12339574,4.573955403,2010
13064,-74.08630165,4.738475124,2010
13067,-74.07423187,4.599980909,2010
13068,-74.06679214,4.629902725,2010
13069,-74.06718377,4.621452149,2010
13070,-74.14179421,4.583399759,2010
13072,-74.03824734,4.680361991,2010
13074,-74.08377163,4.731189789,2010
13075,-74.07914547,4.634715662,2010
13076,-74.05900939,4.662921473,2010
13078,-74.08328509,4.664103362,2010
13080,-74.03579091,4.685412298,2010
13081,-74.05861991,4.65736209,2010
13082,-74.07313176,4.670147754,2010
13083,-74.03864654,4.679718541,2010
13084,-74.09525685,4.587842823,2010
13086,-74.04405004,4.680973125,2010
13087,-74.08560069,4.738200688,2010
13088,-74.06991266,4.615513595,2010
13089,-74.15501278,4.676989298,2010
13090,-74.1073265,4.655270527,2010
13091,-74.09926291,4.713798292,2010
13093,-74.05752939,4.717021009,2010
13094,-74.03260708,4.720793714,2010
13095,-74.07401962,4.612418244,2010
13096,-74.17754234,4.619342244,2010
13098,-74.11855941,4.655054485,2010
13099,-74.09102331,4.628063021,2010
13100,-74.0323096,4.717713738,2010
13101,-74.13743745,4.591235687,2010
13103,-74.05861991,4.65736209,2010
13105,-74.06354596,4.641815055,2010
13107,-74.05636462,4.655817121,2010
13108,-74.19718294,4.620491154,2010
13110,-74.13298474,4.580510208,2010
13111,-74.11371824,4.697583937,2010
13112,-74.1152314,4.499543897,2010
13114,-74.07321063,4.607746972,2010
13115,-74.07956523,4.597245589,2010
13116,-74.04016604,4.762661453,2010
13117,-74.07088723,4.618541999,2010
13118,-74.1049671,4.75951879,2010
13119,-74.06623232,4.632324105,2010
13120,-74.19460805,4.609981181,2010
13121,-74.18245029,4.634338389,2010
13124,-74.04550328,4.760161167,2010
13126,-74.04334572,4.682963476,2010
13127,-74.07703248,4.692033416,2010
13128,-74.06751321,4.663500873,2010
13130,-74.11519078,4.699625421,2010
13131,-74.0937239,4.723540002,2010
13132,-74.0786125,4.590132986,2010
13135,-74.1512881,4.687496061,2010
13137,-74.04259554,4.707851659,2010
13138,-74.07038537,4.615042608,2010
13139,-74.07388763,4.607050142,2010
13140,-74.06613077,4.60714103,2010
13141,-74.06854576,4.61950666,2010
13142,-74.06908699,4.608160612,2010
13143,-74.15449513,4.59955621,2010
13144,-74.08598253,4.684459445,2010
13145,-74.07516942,4.60060744,2010
13146,-74.11273584,4.633139676,2010
13147,-74.11420609,4.697882647,2010
13148,-74.18905821,4.622139261,2010
13149,-74.07353695,4.668055384,2010
13150,-74.03517882,4.748987725,2010
13151,-74.07718035,4.699375456,2010
13153,-74.08137618,4.679330383,2010
13154,-74.10249668,4.637370906,2010
13155,-74.10249668,4.637370906,2010
13158,-74.04662838,4.722254523,2010
13159,-74.07603452,4.610381688,2010
13160,-74.05576927,4.670546667,2010
13161,-74.13838317,4.594311947,2010
13162,-74.09233172,4.561820189,2010
13163,-74.05105206,4.752072589,2010
13164,-74.05864325,4.748243256,2010
13168,-74.1548303,4.622250881,2010
13169,-74.14627375,4.562833139,2010
13170,-74.07121189,4.669620984,2010
13172,-74.19985157,4.614643603,2010
13174,-74.07571539,4.65173171,2010
13176,-74.04518901,4.692013489,2010
13177,-74.07648456,4.600186996,2010
13179,-74.0622648,4.603269744,2010
13180,-74.11245284,4.669615691,2010
