OBJECTID_1	Nombre	Direccion	Caracter	POINT_X	POINT_Y
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087949422600000	4586064795550000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087944565399900	4586072723700000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087781553100000	4585982858860000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087786243799900	4585974730020000
789	SALON COMUNAL BARRIO ARBORIZADORA ALTA	KR 42 73 A 2 SUR	PUBL	-74162995728900000	4568151068110000
789	SALON COMUNAL BARRIO ARBORIZADORA ALTA	KR 42 73 A 2 SUR	PUBL	-74162748471100000	4568101134950000
789	SALON COMUNAL BARRIO ARBORIZADORA ALTA	KR 42 73 A 2 SUR	PUBL	-74162753127299900	4568056179590000
789	SALON COMUNAL BARRIO ARBORIZADORA ALTA	KR 42 73 A 2 SUR	PUBL	-74162870742699900	4567934182500000
789	SALON COMUNAL BARRIO ARBORIZADORA ALTA	KR 42 73 A 2 SUR	PUBL	-74163017580599900	4568035619570000
789	SALON COMUNAL BARRIO ARBORIZADORA ALTA	KR 42 73 A 2 SUR	PUBL	-74162995728900000	4568151068110000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078013772299900	4604688337110000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078339503300000	4604270257720000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078613539000000	4604487931390000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078625947099900	4604470160010000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078694822599900	4604521161060000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078792842300000	4604380356900000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078913925400000	4604458868260000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74079043510399900	4604281808690000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74079143354699900	4604346553580000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078902901099900	4604675144220000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078601612699900	4605095652400000
400	BIBLIOTECA ANTONIO NARIÃ‘O	CL 14 13 68	PUBL	-74078013772299900	4604688337110000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74092844371699900	4643150068100000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74092275947600000	4642248856010000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74092798522099900	4641907765890000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74092715960500000	4641792539630000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74093705820599900	4641130696670000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094380646600000	4640679492330000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094381916100000	4640677080650000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094384626099900	4640675530620000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094387362199900	4640674028450000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094390124499900	4640672575090000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094392911900000	4640671169660000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094395722800000	4640669813040000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094398557100000	4640668507020000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094401413900000	4640667249890000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094404291399900	4640666043280000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094407190599900	4640664886460000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094410108600000	4640663782090000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094413045600000	4640662727350000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094415999700000	4640661725070000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094418971799900	4640660775250000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094421960199900	4640659876980000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094424962900000	4640659031100000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094427980000000	4640658237670000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094431010700000	4640657497520000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094434053900000	4640656810790000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094437108799900	4640656177330000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094440173699900	4640655597210000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094443248499900	4640655070450000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094446331399900	4640654598810000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094449423300000	4640654180520000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094452520499900	4640653816460000
